"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_1163","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Crepidotaceae","g__Crepidotus",NA
"ASV_1164","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV_1165","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Verrucaria","s__ahtii"
"ASV_1166","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Epicoccum","s__sorghinum"
"ASV_1167","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Sesquicillium",NA
"ASV_1168","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales",NA,NA,NA
"ASV_1169","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Pseudosigmoidea",NA
"ASV_1171","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Pyrenochaetopsis","s__indica"
"ASV_1172","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Coleophoma",NA
"ASV_1174","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Ascobolaceae","g__Ascobolus",NA
"ASV_1176","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__yunnanensis"
"ASV_1178","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Leptospora",NA
"ASV_1179","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Verrucaria","s__humida"
"ASV_1180","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"ASV_1181","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma",NA
"ASV_1182","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Thelonectria","s__olida"
"ASV_1183","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Tuberaceae","g__Tuber","s__mexiusanum"
"ASV_1185","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV_1187","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","g__Knufia",NA
"ASV_1189","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Melanommataceae","g__Pleotrichocladium","s__opacum"
"ASV_1190","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Echinoderma",NA
"ASV_1192","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV_1194","k__Fungi","p__Blastocladiomycota","c__Blastocladiomycetes","o__Blastocladiales","f__Blastocladiales_fam_Incertae_sedis","g__Blastocladiales_gen_Incertae_sedis",NA
"ASV_1195","k__Fungi","p__Basidiomycota","c__Basidiomycota_cls_Incertae_sedis","o__Basidiomycota_ord_Incertae_sedis","f__Basidiomycota_fam_Incertae_sedis","g__Basidiomycota_gen_Incertae_sedis",NA
"ASV_1196","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria",NA
"ASV_1198","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Bipolaris",NA
"ASV_1199","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae",NA,NA
"ASV_1201","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Niessliaceae","g__Niesslia","s__exilis"
"ASV_1203","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Exidiaceae",NA,NA
"ASV_1205","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Irpicaceae","g__Flavodon","s__flavus"
"ASV_1207","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV_1208","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Neocucurbitaria",NA
"ASV_1209","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_1210","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Phallales","f__Phallaceae","g__Phallus","s__rugulosus"
"ASV_1212","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Bolbitiaceae","g__Conocybe","s__subovalis"
"ASV_1213","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Peniophora",NA
"ASV_1214","k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina","s__inositophila"
"ASV_1215","k__Stramenopila","p__Ochrophyta","c__Xanthophyceae","o__Mischococcales",NA,NA,NA
"ASV_1216","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neoophiobolus","s__chromolaenae"
"ASV_1220","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae","g__Gnomoniopsis",NA
"ASV_1221","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Leucocalocybe",NA
"ASV_1222","k__Fungi","p__Basidiomycota","c__Agaricomycotina_cls_Incertae_sedis","o__Agaricomycotina_ord_Incertae_sedis","f__Agaricomycotina_fam_Incertae_sedis","g__Agaricomycotina_gen_Incertae_sedis",NA
"ASV_1223","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales",NA,NA,NA
"ASV_1224","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma",NA
"ASV_1227","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_1228","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lentitheciaceae","g__Lentithecium","s__clioninum"
"ASV_1230","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Tzeananiaceae","g__Tzeanania",NA
"ASV_1231","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Sporormiella","s__intermedia"
"ASV_1232","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Symmetrosporaceae","g__Symmetrospora","s__gracilis"
"ASV_1233","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paraphaeosphaeria",NA
"ASV_1236","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Symmetrosporaceae","g__Symmetrospora","s__coprosmae"
"ASV_1237","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neosetophoma",NA
"ASV_1238","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_1239","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_1241","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Glomerellaceae","g__Colletotrichum","s__diversisporum"
"ASV_1242","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV_1244","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Rachicladosporium",NA
"ASV_1245","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Tricellula",NA
"ASV_1246","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__globalpina"
"ASV_1247","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Leptospora",NA
"ASV_1248","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meruliaceae","g__Meruliaceae_gen_Incertae_sedis",NA
"ASV_1251","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV_1252","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Pseudosigmoidea",NA
"ASV_1253","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__castaneae"
"ASV_1254","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_1256","k__Stramenopila","p__Ochrophyta","c__Eustigmatophyceae","o__Eustigmatales","f__Eustigmataceae","g__Eustigmatos",NA
"ASV_1257","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella","s__galzinii"
"ASV_1259","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Leptospora","s__clematidis"
"ASV_1260","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Nigrogranaceae","g__Nigrograna","s__aquatica"
"ASV_1261","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Extremaceae","g__Incertomyces",NA
"ASV_1262","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Massariaceae","g__Massaria","s__gigantispora"
"ASV_1263","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellales_fam_Incertae_sedis","g__Mortierellales_gen_Incertae_sedis",NA
"ASV_1264","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Niessliaceae","g__Niesslia","s__exilis"
"ASV_1265","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_1266","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Niessliaceae","g__Niesslia","s__exilis"
"ASV_1267","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Stemphylium",NA
"ASV_1270","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Sclerostagonospora","s__rosae"
"ASV_1271","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinellus","s__brevisetulosus"
"ASV_1272","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paraphaeosphaeria","s__rosae"
"ASV_1273","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae",NA,NA
"ASV_1274","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__tenuissima"
"ASV_1276","k__Stramenopila","p__Ochrophyta","c__Eustigmatophyceae","o__Eustigmatales","f__Eustigmataceae","g__Eustigmatos",NA
"ASV_1280","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_1283","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryales","f__Microbotryaceae","g__Microbotryum","s__tenuisporum"
"ASV_1287","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Magnaporthales","f__Magnaporthaceae","g__Arxiella",NA
"ASV_1288","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Microsporomycetaceae","g__Microsporomycetaceae_gen_Incertae_sedis",NA
"ASV_1290","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella","s__bryophila"
"ASV_1292","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paracamarosporium","s__fungicola"
"ASV_1294","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neosetophoma",NA
"ASV_1296","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Geastrales","f__Geastrales_fam_Incertae_sedis","g__Geastrales_gen_Incertae_sedis",NA
"ASV_1297","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria",NA
"ASV_1298","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_1299","k__Fungi","p__Kickxellomycota","c__Kickxellomycota_cls_Incertae_sedis","o__Kickxellomycota_ord_Incertae_sedis","f__Kickxellomycota_fam_Incertae_sedis","g__Kickxellomycota_gen_Incertae_sedis",NA
"ASV_1300","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Leptospora",NA
"ASV_1301","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Botryosphaeriaceae","g__Microdiplodia",NA
"ASV_1302","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Pseudosigmoidea",NA
"ASV_1305","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Phialophora","s__cyclaminis"
"ASV_1306","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paraconiothyrium",NA
"ASV_1311","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae",NA,NA
"ASV_1312","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Lycoperdaceae","g__Bovista","s__tomentosa"
"ASV_1313","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium",NA
"ASV_1314","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_1315","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_1316","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Extremaceae","g__Incertomyces",NA
"ASV_1317","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe",NA
"ASV_1318","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_1319","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Echinoderma",NA
"ASV_1320","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinellus","s__plagioporus"
"ASV_1321","k__Stramenopila","p__Ochrophyta","c__Eustigmatophyceae","o__Eustigmatales","f__Eustigmataceae","g__Eustigmatos",NA
"ASV_1322","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Neodevriesiaceae","g__Neodevriesia",NA
"ASV_1323","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma",NA
"ASV_1324","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae",NA,NA
"ASV_1325","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Setomelanomma",NA
"ASV_1327","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neosetophoma",NA
"ASV_1328","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Pyrenochaeta",NA
"ASV_1331","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__sonchi"
"ASV_1332","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Extremaceae","g__Incertomyces",NA
"ASV_1333","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Neodevriesiaceae","g__Neodevriesia",NA
"ASV_1335","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Schizothecium",NA
"ASV_1337","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Tetracladium",NA
"ASV_1341","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Didymella","s__glomerata"
"ASV_1342","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Amniculicolaceae","g__Murispora","s__kazachstanica"
"ASV_1343","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Geastrales","f__Geastrales_fam_Incertae_sedis","g__Geastrales_gen_Incertae_sedis",NA
"ASV_1345","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Omphalotaceae","g__Omphalotus","s__olearius"
"ASV_1346","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinaceae","g__Efibulobasidium",NA
"ASV_1348","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paraconiothyrium",NA
"ASV_1349","k__Fungi","p__Kickxellomycota","c__Kickxellomycota_cls_Incertae_sedis","o__Kickxellomycota_ord_Incertae_sedis","f__Kickxellomycota_fam_Incertae_sedis","g__Kickxellomycota_gen_Incertae_sedis",NA
"ASV_1350","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliomycetes_ord_Incertae_sedis","f__Orbiliomycetes_fam_Incertae_sedis","g__Orbiliomycetes_gen_Incertae_sedis",NA
"ASV_1352","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria","s__breonadiae"
"ASV_1353","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Cercospora",NA
"ASV_1354","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"ASV_1355","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Coniothyriaceae","g__Hazslinszkyomyces",NA
"ASV_1356","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_1357","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales",NA,NA,NA
"ASV_1358","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hymenogastraceae","g__Hymenogaster",NA
"ASV_1359","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Didymocyrtis","s__brachylaenae"
"ASV_1361","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Hannaella","s__sinensis"
"ASV_1362","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideomycetes_ord_Incertae_sedis","f__Dothideomycetes_fam_Incertae_sedis","g__Pseudoarthrographis",NA
"ASV_1363","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paraphaeosphaeria","s__sporulosa"
"ASV_1364","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Sordariales_fam_Incertae_sedis","g__Papulaspora","s__byssina"
"ASV_1366","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Amniculicolaceae","g__Murispora","s__kazachstanica"
"ASV_1367","k__Fungi","p__Basidiomycota","c__Basidiomycota_cls_Incertae_sedis","o__Basidiomycota_ord_Incertae_sedis","f__Basidiomycota_fam_Incertae_sedis","g__Basidiomycota_gen_Incertae_sedis",NA
"ASV_1369","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Tricellula",NA
"ASV_1374","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paraphaeosphaeria","s__sporulosa"
"ASV_1375","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Crepidotaceae","g__Crepidotus","s__subverrucisporus"
"ASV_1377","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Neodevriesiaceae","g__Neodevriesia","s__poagena"
"ASV_1379","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiales_fam_Incertae_sedis","g__Cystofilobasidiales_gen_Incertae_sedis",NA
"ASV_1380","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Cystodendron",NA
"ASV_1381","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_1382","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Chrysozymaceae","g__Pseudohyphozyma","s__hydrangeae"
"ASV_1383","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria","s__phoenicicola"
"ASV_1384","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Leohumicola",NA
"ASV_1386","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paraconiothyrium",NA
"ASV_1387","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Massarinaceae","g__Stagonospora","s__pseudovitensis"
"ASV_1388","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Chaetothyriales_fam_Incertae_sedis","g__Bahusakala",NA
"ASV_1389","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Tricharina","s__hiemalis"
"ASV_1390","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Dictyosporiaceae","g__Dictyosporiaceae_gen_Incertae_sedis",NA
"ASV_1391","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neosetophoma","s__guiyangensis"
"ASV_1392","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Pyrenochaetopsis","s__leptospora"
"ASV_1393","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeodothis",NA
"ASV_1396","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paraphaeosphaeria","s__michotii"
"ASV_1399","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_1400","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Schizothecium",NA
"ASV_1403","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinopsis","s__igarashii"
"ASV_1405","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Camarographium",NA
"ASV_1406","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paraphaeosphaeria","s__sporulosa"
"ASV_1407","k__Stramenopila","p__Ochrophyta","c__Bacillariophyceae","o__Bacillariophyceae_ord_Incertae_sedis","f__Bacillariophyceae_fam_Incertae_sedis","g__Bacillariophyceae_gen_Incertae_sedis",NA
"ASV_1408","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Aplosporellaceae","g__Aplosporella","s__javeedii"
"ASV_1409","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Phallales","f__Gastrosporiaceae","g__Gastrosporium","s__gossypinum"
"ASV_1410","k__Fungi","p__Aphelidiomycota","c__Aphelidiomycetes","o__Aphelidiomycetes_ord_Incertae_sedis","f__Aphelidiomycetes_fam_Incertae_sedis","g__Aphelidiomycetes_gen_Incertae_sedis",NA
"ASV_1411","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Hysteriales","f__Hysteriaceae","g__Rhytidhysteron",NA
"ASV_1412","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_1413","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Nothodactylariaceae","g__Nothodactylaria",NA
"ASV_1414","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria","s__phoenicicola"
"ASV_1415","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__antarctica"
"ASV_1419","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Kondoaceae","g__Kondoa","s__phyllada"
"ASV_1420","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Symmetrosporaceae","g__Symmetrospora","s__symmetrica"
"ASV_1421","k__Stramenopila","p__Ochrophyta","c__Eustigmatophyceae","o__Eustigmatales","f__Eustigmataceae",NA,NA
"ASV_1422","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_1423","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Amphisphaeriales","f__Pestalotiopsidaceae","g__Pestalotiopsis","s__lijiangensis"
"ASV_1424","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Physalacriaceae","g__Strobilurus","s__pachycystidiatus"
"ASV_1425","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Trechisporales","f__Hydnodontaceae","g__Subulicystidium",NA
"ASV_1426","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Neocelosporiales","f__Neocelosporiaceae","g__Neocelosporium","s__eucalypti"
"ASV_1427","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Verrucaria","s__humida"
"ASV_1428","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_1430","k__Stramenopila","p__Ochrophyta","c__Bacillariophyceae","o__Cymbellales","f__Gomphonemataceae","g__Gomphonema","s__parvulum"
"ASV_1431","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Stephanosporaceae","g__Stephanosporaceae_gen_Incertae_sedis",NA
"ASV_1432","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Massarinaceae","g__Pseudodidymosphaeria","s__phlei"
"ASV_1433","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideomycetes_ord_Incertae_sedis","f__Dothideomycetes_fam_Incertae_sedis","g__Pseudoarthrographis",NA
"ASV_1434","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Amphisphaeriales","f__Discosiaceae","g__Discosia","s__celtidis"
"ASV_1435","k__Stramenopila","p__Ochrophyta","c__Bacillariophyceae","o__Naviculales","f__Naviculaceae","g__Navicula",NA
"ASV_1436","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Trichoderma",NA
"ASV_1437","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Calyptella","s__gibbosa"
"ASV_1439","k__Fungi","p__Basidiomycota","c__Geminibasidiomycetes","o__Geminibasidiales","f__Geminibasidiaceae","g__Basidioascus","s__persicus"
"ASV_1440","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Cercospora",NA
